flight_code,airline,departure_time,arrival_time,duration_minutes,price,stops,departure_airport,arrival_airport,currency,source,route
VIETNAM-2200,Vietnam Airlines,2025-10-09 22:00:00,2025-10-10 00:05:00,125,2888803.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1640,Vietnam Airlines,2025-10-09 16:40:00,2025-10-09 18:45:00,125,3062923.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1640,Vietnam Airlines,2025-10-09 16:40:00,2025-10-09 18:45:00,125,3062923.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1600,Vietnam Airlines,2025-10-09 16:00:00,2025-10-09 18:05:00,125,3120443.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-2015,Vietnam Airlines,2025-10-09 20:15:00,2025-10-09 22:25:00,130,3352083.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
BAMBOO-0710,Bamboo Airways,2025-10-09 07:10:00,2025-10-09 09:20:00,130,3368174.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1800,Vietnam Airlines,2025-10-09 18:00:00,2025-10-09 20:05:00,125,3494913.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1900,Vietnam Airlines,2025-10-09 19:00:00,2025-10-09 21:05:00,125,3494913.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-2000,Vietnam Airlines,2025-10-09 20:00:00,2025-10-09 22:05:00,125,3494913.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1700,Vietnam Airlines,2025-10-09 17:00:00,2025-10-09 19:10:00,130,3494913.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1405,VietJet Air,2025-10-09 14:05:00,2025-10-09 16:10:00,125,3660975.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1240,VietJet Air,2025-10-09 12:40:00,2025-10-09 14:50:00,130,3660975.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1355,VietJet Air,2025-10-09 13:55:00,2025-10-09 16:05:00,130,3660975.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1650,VietJet Air,2025-10-09 16:50:00,2025-10-09 19:00:00,130,3660975.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1845,VietJet Air,2025-10-09 18:45:00,2025-10-09 20:55:00,130,3660975.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2020,VietJet Air,2025-10-09 20:20:00,2025-10-09 22:30:00,130,3660975.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2110,VietJet Air,2025-10-09 21:10:00,2025-10-09 23:20:00,130,3660975.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0615,VietJet Air,2025-10-09 06:15:00,2025-10-09 08:20:00,125,3683000.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1500,Vietnam Airlines,2025-10-09 15:00:00,2025-10-09 17:05:00,125,3732644.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
BAMBOO-1055,Bamboo Airways,2025-10-09 10:55:00,2025-10-09 13:05:00,130,3732907.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-0630,Vietnam Airlines,2025-10-09 06:30:00,2025-10-09 08:35:00,125,3740906.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1300,Vietnam Airlines,2025-10-09 13:00:00,2025-10-09 15:05:00,125,3806437.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1400,Vietnam Airlines,2025-10-09 14:00:00,2025-10-09 16:05:00,125,3807137.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETRAVEL-2105,Vietravel Airlines,2025-10-09 21:05:00,2025-10-09 23:15:00,130,4040068.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2025,VietJet Air,2025-10-09 20:25:00,2025-10-10 06:50:00,625,1771339.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2025,VietJet Air,2025-10-09 20:25:00,2025-10-10 19:00:00,1355,1771339.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2025,VietJet Air,2025-10-09 20:25:00,2025-10-10 09:05:00,760,1995252.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2025,VietJet Air,2025-10-09 20:25:00,2025-10-10 08:15:00,710,1995289.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2025,VietJet Air,2025-10-09 20:25:00,2025-10-10 18:40:00,1335,1995289.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2025,VietJet Air,2025-10-09 20:25:00,2025-10-10 19:45:00,1400,1995289.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1815,VietJet Air,2025-10-09 18:15:00,2025-10-10 06:50:00,755,2026068.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0650,VietJet Air,2025-10-09 06:50:00,2025-10-09 20:15:00,805,2143223.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETRAVEL-0905,Vietravel Airlines,2025-10-09 09:05:00,2025-10-09 20:15:00,670,2166025.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1615,VietJet Air,2025-10-09 16:15:00,2025-10-09 22:40:00,385,2250018.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0530,VietJet Air,2025-10-09 05:30:00,2025-10-09 20:15:00,885,2265414.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1410,VietJet Air,2025-10-09 14:10:00,2025-10-09 20:15:00,365,2569197.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1540,Vietnam Airlines,2025-10-09 15:40:00,2025-10-10 13:35:00,1315,2659971.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1410,VietJet Air,2025-10-09 14:10:00,2025-10-09 19:00:00,290,2675992.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1410,VietJet Air,2025-10-09 14:10:00,2025-10-09 18:55:00,285,2819027.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1615,VietJet Air,2025-10-09 16:15:00,2025-10-09 21:45:00,330,2871386.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1540,Vietnam Airlines,2025-10-09 15:40:00,2025-10-09 19:40:00,240,2950926.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0650,VietJet Air,2025-10-09 06:50:00,2025-10-09 11:40:00,290,2956963.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0530,VietJet Air,2025-10-09 05:30:00,2025-10-09 11:40:00,370,3079154.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1640,Vietnam Airlines,2025-10-09 16:40:00,2025-10-09 22:40:00,360,3101960.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-0545,Vietnam Airlines,2025-10-09 05:45:00,2025-10-09 09:25:00,220,3970408.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1640,Vietnam Airlines,2025-10-09 16:40:00,2025-10-09 20:25:00,225,4223476.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1640,Vietnam Airlines,2025-10-09 16:40:00,2025-10-09 20:25:00,225,4223476.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1520,Vietnam Airlines,2025-10-09 15:20:00,2025-10-09 19:20:00,240,4697981.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-0650,Vietnam Airlines,2025-10-09 06:50:00,2025-10-09 10:25:00,215,4958067.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-0650,Vietnam Airlines,2025-10-09 06:50:00,2025-10-09 11:10:00,260,4958067.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-1310,Vietnam Airlines,2025-10-09 13:10:00,2025-10-09 17:20:00,250,6280557.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETRAVEL-1855,Vietravel Airlines,2025-10-09 18:55:00,2025-10-09 20:15:00,80,1013214.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETJET-1740,VietJet Air,2025-10-09 17:40:00,2025-10-09 19:00:00,80,1112600.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETJET-2120,VietJet Air,2025-10-09 21:20:00,2025-10-09 22:40:00,80,1112600.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETRAVEL-0830,Vietravel Airlines,2025-10-09 08:30:00,2025-10-09 09:50:00,80,1142811.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
BAMBOO-0740,Bamboo Airways,2025-10-09 07:40:00,2025-10-09 09:05:00,85,1177971.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETJET-0530,VietJet Air,2025-10-09 05:30:00,2025-10-09 06:50:00,80,1242200.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETJET-0655,VietJet Air,2025-10-09 06:55:00,2025-10-09 08:15:00,80,1242200.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETJET-1735,VietJet Air,2025-10-09 17:35:00,2025-10-09 18:55:00,80,1242200.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-0800,Vietnam Airlines,2025-10-09 08:00:00,2025-10-09 09:25:00,85,1561961.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-0645,Vietnam Airlines,2025-10-09 06:45:00,2025-10-09 08:10:00,85,1610439.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-2020,Vietnam Airlines,2025-10-09 20:20:00,2025-10-09 21:45:00,85,1741377.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1015,Vietnam Airlines,2025-10-09 10:15:00,2025-10-09 11:40:00,85,1826954.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-0945,Vietnam Airlines,2025-10-09 09:45:00,2025-10-09 11:10:00,85,1885953.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-0900,Vietnam Airlines,2025-10-09 09:00:00,2025-10-09 10:25:00,85,1944129.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1900,Vietnam Airlines,2025-10-09 19:00:00,2025-10-09 20:25:00,85,2166946.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1900,Vietnam Airlines,2025-10-09 19:00:00,2025-10-09 20:25:00,85,2166946.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETJET-1410,VietJet Air,2025-10-09 14:10:00,2025-10-09 15:30:00,80,2250981.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1300,Vietnam Airlines,2025-10-09 13:00:00,2025-10-09 14:25:00,85,2325344.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1720,Vietnam Airlines,2025-10-09 17:20:00,2025-10-09 18:50:00,90,2371941.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETJET-2145,VietJet Air,2025-10-09 21:45:00,2025-10-09 23:05:00,80,2419856.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1215,Vietnam Airlines,2025-10-09 12:15:00,2025-10-09 13:40:00,85,2424711.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1755,Vietnam Airlines,2025-10-09 17:55:00,2025-10-09 19:20:00,85,2424711.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1355,Vietnam Airlines,2025-10-09 13:55:00,2025-10-09 15:20:00,85,2497400.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
BAMBOO-2300,Bamboo Airways,2025-10-09 23:00:00,2025-10-10 09:20:00,620,3689746.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-0745,Vietnam Airlines,2025-10-09 07:45:00,2025-10-10 01:05:00,1040,4672952.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1720,Vietnam Airlines,2025-10-09 17:20:00,2025-10-10 00:05:00,405,4761550.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1720,Vietnam Airlines,2025-10-09 17:20:00,2025-10-10 01:05:00,465,4761550.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1300,Vietnam Airlines,2025-10-09 13:00:00,2025-10-10 00:05:00,665,4761550.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1300,Vietnam Airlines,2025-10-09 13:00:00,2025-10-10 01:05:00,725,4761550.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1200,Vietnam Airlines,2025-10-09 12:00:00,2025-10-10 01:05:00,785,4761550.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1100,Vietnam Airlines,2025-10-09 11:00:00,2025-10-10 01:05:00,845,4761550.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-0855,Vietnam Airlines,2025-10-09 08:55:00,2025-10-10 01:05:00,970,4761550.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-2030,Vietnam Airlines,2025-10-09 20:30:00,2025-10-10 01:05:00,275,4793080.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1730,Vietnam Airlines,2025-10-09 17:30:00,2025-10-09 22:20:00,290,6077591.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1840,Vietnam Airlines,2025-10-09 18:40:00,2025-10-09 23:20:00,280,6121641.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1330,Vietnam Airlines,2025-10-09 13:30:00,2025-10-09 18:05:00,275,6249691.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1720,Vietnam Airlines,2025-10-09 17:20:00,2025-10-09 22:05:00,285,6249691.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1000,Vietnam Airlines,2025-10-09 10:00:00,2025-10-09 15:05:00,305,6249691.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1100,Vietnam Airlines,2025-10-09 11:00:00,2025-10-09 16:05:00,305,6249691.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETNAM-1200,Vietnam Airlines,2025-10-09 12:00:00,2025-10-09 17:05:00,305,6249691.0,0,HAN,DAD,VND,Traveloka.com,HAN-DAD
VIETRAVEL-2105,Vietravel Airlines,2025-10-09 21:05:00,2025-10-09 23:20:00,135,1574800.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-2155,VietJet Air,2025-10-09 21:55:00,2025-10-10 00:05:00,130,1544600.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-2010,Vietravel Airlines,2025-10-09 20:10:00,2025-10-09 22:25:00,135,1574800.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1920,VietJet Air,2025-10-09 19:20:00,2025-10-09 21:30:00,130,1674200.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-2055,VietJet Air,2025-10-09 20:55:00,2025-10-09 23:05:00,130,1674200.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-2240,VietJet Air,2025-10-09 22:40:00,2025-10-10 00:50:00,130,1674200.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
BAMBOO-2215,Bamboo Airways,2025-10-09 22:15:00,2025-10-10 00:25:00,130,1749956.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
BAMBOO-1610,Bamboo Airways,2025-10-09 16:10:00,2025-10-09 18:20:00,130,1943951.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1445,VietJet Air,2025-10-09 14:45:00,2025-10-09 16:50:00,125,1969608.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1535,VietJet Air,2025-10-09 15:35:00,2025-10-09 17:45:00,130,2062000.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-0845,Vietravel Airlines,2025-10-09 08:45:00,2025-10-09 10:55:00,130,2103987.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
BAMBOO-2015,Bamboo Airways,2025-10-09 20:15:00,2025-10-09 22:25:00,130,2106782.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
BAMBOO-1350,Bamboo Airways,2025-10-09 13:50:00,2025-10-09 16:00:00,130,2127947.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-0955,VietJet Air,2025-10-09 09:55:00,2025-10-09 12:05:00,130,2138483.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1425,VietJet Air,2025-10-09 14:25:00,2025-10-09 16:35:00,130,2138483.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-1050,Vietravel Airlines,2025-10-09 10:50:00,2025-10-09 12:55:00,125,2166697.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-2300,Vietnam Airlines,2025-10-09 23:00:00,2025-10-10 01:10:00,130,2183418.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-2255,VietJet Air,2025-10-09 22:55:00,2025-10-10 01:05:00,130,2307621.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1015,VietJet Air,2025-10-09 10:15:00,2025-10-09 12:25:00,130,2505991.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-0430,VietJet Air,2025-10-09 04:30:00,2025-10-09 06:40:00,130,2516600.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1310,VietJet Air,2025-10-09 13:10:00,2025-10-09 15:20:00,130,2733855.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1600,Vietnam Airlines,2025-10-09 16:00:00,2025-10-09 18:10:00,130,3062923.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1800,Vietnam Airlines,2025-10-09 18:00:00,2025-10-09 20:10:00,130,3062923.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-2200,Vietnam Airlines,2025-10-09 22:00:00,2025-10-10 00:10:00,130,3062923.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-2100,Vietnam Airlines,2025-10-09 21:00:00,2025-10-09 23:15:00,135,3062923.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1730,Vietnam Airlines,2025-10-09 17:30:00,2025-10-09 19:40:00,130,3122200.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1700,Vietnam Airlines,2025-10-09 17:00:00,2025-10-09 18:55:00,115,3289918.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-2030,Vietnam Airlines,2025-10-09 20:30:00,2025-10-09 22:40:00,130,3353970.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-0915,VietJet Air,2025-10-09 09:15:00,2025-10-09 11:25:00,130,3663585.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1535,VietJet Air,2025-10-09 15:35:00,2025-10-09 17:45:00,130,3663585.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1640,VietJet Air,2025-10-09 16:40:00,2025-10-09 18:50:00,130,3663585.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1725,VietJet Air,2025-10-09 17:25:00,2025-10-09 19:35:00,130,3663585.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1815,VietJet Air,2025-10-09 18:15:00,2025-10-09 20:25:00,130,3663585.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1940,VietJet Air,2025-10-09 19:40:00,2025-10-09 21:50:00,130,3663585.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1400,Vietnam Airlines,2025-10-09 14:00:00,2025-10-09 16:10:00,130,3667908.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1350,Vietnam Airlines,2025-10-09 13:50:00,2025-10-09 16:00:00,130,3734748.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1405,Vietnam Airlines,2025-10-09 14:05:00,2025-10-09 16:15:00,130,3734748.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1500,Vietnam Airlines,2025-10-09 15:00:00,2025-10-09 17:10:00,130,3740906.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-2000,Vietnam Airlines,2025-10-09 20:00:00,2025-10-09 22:15:00,135,3740906.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
BAMBOO-1010,Bamboo Airways,2025-10-09 10:10:00,2025-10-09 12:20:00,130,4060581.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-0625,Vietravel Airlines,2025-10-09 06:25:00,2025-10-10 00:30:00,1085,2046789.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-0950,VietJet Air,2025-10-09 09:50:00,2025-10-10 00:30:00,880,2124552.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-0625,Vietravel Airlines,2025-10-09 06:25:00,2025-10-09 22:35:00,970,2206709.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-0625,Vietravel Airlines,2025-10-09 06:25:00,2025-10-09 23:55:00,1050,2206709.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
BAMBOO-0545,Bamboo Airways,2025-10-09 05:45:00,2025-10-10 00:30:00,1125,2221945.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1025,VietJet Air,2025-10-09 10:25:00,2025-10-09 18:50:00,505,2234018.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-1025,VietJet Air,2025-10-09 10:25:00,2025-10-10 06:30:00,1205,2234018.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-0950,VietJet Air,2025-10-09 09:50:00,2025-10-09 22:35:00,765,2284472.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-0950,VietJet Air,2025-10-09 09:50:00,2025-10-09 23:55:00,845,2284472.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-0625,Vietravel Airlines,2025-10-09 06:25:00,2025-10-09 21:25:00,900,2375846.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-1650,Vietravel Airlines,2025-10-09 16:50:00,2025-10-09 22:35:00,345,2530701.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-1650,Vietravel Airlines,2025-10-09 16:50:00,2025-10-09 23:55:00,425,2530701.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1945,Vietnam Airlines,2025-10-09 19:45:00,2025-10-09 23:35:00,230,2647934.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1630,Vietnam Airlines,2025-10-09 16:30:00,2025-10-09 20:35:00,245,2950926.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-0950,VietJet Air,2025-10-09 09:50:00,2025-10-09 16:15:00,385,2978170.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETRAVEL-0625,Vietravel Airlines,2025-10-09 06:25:00,2025-10-09 12:35:00,370,3008404.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETJET-0950,VietJet Air,2025-10-09 09:50:00,2025-10-09 17:45:00,475,3019487.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
VIETNAM-1820,Vietnam Airlines,2025-10-09 18:20:00,2025-10-09 22:00:00,220,3972645.0,0,SGN,HAN,VND,Traveloka.com,SGN-HAN
